xName,n_structures,shape,fill,stroke,size
FGFR1,56,circle,LimeGreen,LightGray,16.47058823529412
FGFR2,30,circle,LimeGreen,LightGray,13.411764705882353
FGFR3,4,circle,LimeGreen,LightGray,10.352941176470589
FGFR4,29,circle,LimeGreen,LightGray,13.294117647058824
FLT1,1,circle,LimeGreen,LightGray,10.0
FLT3,6,circle,LimeGreen,LightGray,10.588235294117647
FMS,17,circle,LimeGreen,LightGray,11.882352941176471
FRAP,22,circle,LimeGreen,LightGray,12.470588235294118
FYN,1,circle,LimeGreen,LightGray,10.0
GAK,7,circle,LimeGreen,LightGray,10.705882352941176
GCN2,3,circle,LimeGreen,LightGray,10.235294117647058
GPRK4,1,circle,LimeGreen,LightGray,10.0
GPRK5,3,circle,LimeGreen,LightGray,10.235294117647058
GPRK6,3,circle,LimeGreen,LightGray,10.235294117647058
GSK3B,74,circle,LimeGreen,LightGray,18.588235294117645
HCK,25,circle,LimeGreen,LightGray,12.823529411764707
HGK,17,circle,LimeGreen,LightGray,11.882352941176471
HH498,3,circle,LimeGreen,LightGray,10.235294117647058
HIPK2,2,circle,LimeGreen,LightGray,10.117647058823529
HPK1,13,circle,LimeGreen,LightGray,11.411764705882353
Haspin,29,circle,LimeGreen,LightGray,13.294117647058824
IGF1R,23,circle,LimeGreen,LightGray,12.588235294117647
IKKa,4,circle,LimeGreen,LightGray,10.352941176470589
IKKb,2,circle,LimeGreen,LightGray,10.117647058823529
ILK,4,circle,LimeGreen,LightGray,10.352941176470589
INSR,23,circle,LimeGreen,LightGray,12.588235294117647
IRAK1,1,circle,LimeGreen,LightGray,10.0
IRAK3,2,circle,LimeGreen,LightGray,10.117647058823529
IRAK4,59,circle,LimeGreen,LightGray,16.823529411764707
IRE1,23,circle,LimeGreen,LightGray,12.588235294117647
ITK,33,circle,LimeGreen,LightGray,13.76470588235294
JAK1,43,circle,LimeGreen,LightGray,14.941176470588236
JAK1-b,2,circle,LimeGreen,LightGray,10.117647058823529
JAK2,85,circle,LimeGreen,LightGray,19.88235294117647
JAK2-b,28,circle,LimeGreen,LightGray,13.176470588235293
JAK3,38,circle,LimeGreen,LightGray,14.352941176470587
JNK1,34,circle,LimeGreen,LightGray,13.882352941176471
JNK2,3,circle,LimeGreen,LightGray,10.235294117647058
JNK3,57,circle,LimeGreen,LightGray,16.58823529411765
KDR,42,circle,LimeGreen,LightGray,14.823529411764707
KHS2,1,circle,LimeGreen,LightGray,10.0
KIT,22,circle,LimeGreen,LightGray,12.470588235294118
KSR1,6,circle,LimeGreen,LightGray,10.588235294117647
KSR2,8,circle,LimeGreen,LightGray,10.823529411764707
LCK,35,circle,LimeGreen,LightGray,14.0
LIMK1,6,circle,LimeGreen,LightGray,10.588235294117647
LIMK2,2,circle,LimeGreen,LightGray,10.117647058823529
LKB1,1,circle,LimeGreen,LightGray,10.0
LMR3,1,circle,LimeGreen,LightGray,10.0
LOK,13,circle,LimeGreen,LightGray,11.411764705882353
LRRK2,8,circle,LimeGreen,LightGray,10.823529411764707
LYN,6,circle,LimeGreen,LightGray,10.588235294117647
MAP2K1,65,circle,LimeGreen,LightGray,17.52941176470588
MAP2K2,1,circle,LimeGreen,LightGray,10.0
MAP2K4,3,circle,LimeGreen,LightGray,10.235294117647058
MAP2K6,3,circle,LimeGreen,LightGray,10.235294117647058
MAP2K7,29,circle,LimeGreen,LightGray,13.294117647058824
MAP3K5,22,circle,LimeGreen,LightGray,12.470588235294118
MAPKAPK2,26,circle,LimeGreen,LightGray,12.941176470588236
MAPKAPK3,4,circle,LimeGreen,LightGray,10.352941176470589
MARK1,2,circle,LimeGreen,LightGray,10.117647058823529
MARK2,4,circle,LimeGreen,LightGray,10.352941176470589
MARK3,4,circle,LimeGreen,LightGray,10.352941176470589
MARK4,1,circle,LimeGreen,LightGray,10.0
MASTL,1,circle,LimeGreen,LightGray,10.0
MELK,33,circle,LimeGreen,LightGray,13.76470588235294
MER,32,circle,LimeGreen,LightGray,13.647058823529411
MET,83,circle,LimeGreen,LightGray,19.647058823529413
MLK1,2,circle,LimeGreen,LightGray,10.117647058823529
MLK4,1,circle,LimeGreen,LightGray,10.0
MLKL,13,circle,LimeGreen,LightGray,11.411764705882353
MNK1,2,circle,LimeGreen,LightGray,10.117647058823529
MNK2,12,circle,LimeGreen,LightGray,11.294117647058824
MPSK1,1,circle,LimeGreen,LightGray,10.0
MRCKb,6,circle,LimeGreen,LightGray,10.588235294117647
MSK1,1,circle,LimeGreen,LightGray,10.0
MSK1-b,2,circle,LimeGreen,LightGray,10.117647058823529
MST1,2,circle,LimeGreen,LightGray,10.117647058823529
MST2,4,circle,LimeGreen,LightGray,10.352941176470589
MST3,34,circle,LimeGreen,LightGray,13.882352941176471
MST4,5,circle,LimeGreen,LightGray,10.470588235294118
MYT1,9,circle,LimeGreen,LightGray,10.941176470588236
NDR1,1,circle,LimeGreen,LightGray,10.0
NEK1,2,circle,LimeGreen,LightGray,10.117647058823529
NEK2,30,circle,LimeGreen,LightGray,13.411764705882353
NEK7,8,circle,LimeGreen,LightGray,10.823529411764707
NIK,17,circle,LimeGreen,LightGray,11.882352941176471
OSR1,2,circle,LimeGreen,LightGray,10.117647058823529
PAK1,27,circle,LimeGreen,LightGray,13.058823529411764
PAK3,1,circle,LimeGreen,LightGray,10.0
PAK4,39,circle,LimeGreen,LightGray,14.470588235294118
PAK5,1,circle,LimeGreen,LightGray,10.0
PAK6,3,circle,LimeGreen,LightGray,10.235294117647058
PASK,1,circle,LimeGreen,LightGray,10.0
PBK,1,circle,LimeGreen,LightGray,10.0
PCTAIRE1,2,circle,LimeGreen,LightGray,10.117647058823529
PDGFRa,7,circle,LimeGreen,LightGray,10.705882352941176
PDK1,64,circle,LimeGreen,LightGray,17.41176470588235
PEK,11,circle,LimeGreen,LightGray,11.176470588235293
PHKg2,1,circle,LimeGreen,LightGray,10.0
PI4K2A,6,circle,LimeGreen,LightGray,10.588235294117647
PI4K2B,1,circle,LimeGreen,LightGray,10.0
PI4KA,1,circle,LimeGreen,LightGray,10.0
PI4KB,13,circle,LimeGreen,LightGray,11.411764705882353
PIK3C3,14,circle,LimeGreen,LightGray,11.529411764705882
PIK3R4,1,circle,LimeGreen,LightGray,10.0
PIM1,171,circle,LimeGreen,LightGray,30.0
PIM2,2,circle,LimeGreen,LightGray,10.117647058823529
PKACa,118,circle,LimeGreen,LightGray,23.764705882352942
PKCa,2,circle,LimeGreen,LightGray,10.117647058823529
PKCb,1,circle,LimeGreen,LightGray,10.0
PKCh,1,circle,LimeGreen,LightGray,10.0
PKCi,9,circle,LimeGreen,LightGray,10.941176470588236
PKCt,5,circle,LimeGreen,LightGray,10.470588235294118
PKG1,3,circle,LimeGreen,LightGray,10.235294117647058
PKN1,4,circle,LimeGreen,LightGray,10.352941176470589
PKN2,1,circle,LimeGreen,LightGray,10.0
PKR,5,circle,LimeGreen,LightGray,10.470588235294118
PLK1,14,circle,LimeGreen,LightGray,11.529411764705882
PLK2,5,circle,LimeGreen,LightGray,10.470588235294118
PLK3,1,circle,LimeGreen,LightGray,10.0
PLK4,3,circle,LimeGreen,LightGray,10.235294117647058
PRP4,7,circle,LimeGreen,LightGray,10.705882352941176
PRPK,1,circle,LimeGreen,LightGray,10.0
PYK2,12,circle,LimeGreen,LightGray,11.294117647058824
RAF1,1,circle,LimeGreen,LightGray,10.0
