,EGFR,ErbB2,p110a,KDR,BRAF,CDK2,LCK,MET,p38a
EGFR,0.6093880972338642,0.5658119658119658,0.07262569832402235,0.3505039193729003,0.4576271186440678,0.125,0.24603174603174602,0.22826086956521738,0.34615384615384615
ErbB2,0.5658119658119658,0.6064705882352941,0.0,0.4,0.25,0.14814814814814814,0.15151515151515152,0.03571428571428571,0.125
p110a,0.07262569832402235,0.0,0.6435237878442978,0.1839080459770115,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0
KDR,0.3505039193729003,0.4,0.1839080459770115,0.6972909305064782,0.7595419847328244,0.6173913043478261,0.43341404358353514,0.5411764705882353,0.5163934426229508
BRAF,0.4576271186440678,0.25,0.3333333333333333,0.7595419847328244,0.8112798264642083,0.07692307692307693,0.55,0.11538461538461539,0.7073170731707317
CDK2,0.125,0.14814814814814814,0.3333333333333333,0.6173913043478261,0.07692307692307693,0.5433333333333333,0.1111111111111111,0.09090909090909091,0.1111111111111111
LCK,0.24603174603174602,0.15151515151515152,0.0,0.43341404358353514,0.55,0.1111111111111111,0.5993589743589743,0.2698412698412698,0.5
MET,0.22826086956521738,0.03571428571428571,0.0,0.5411764705882353,0.11538461538461539,0.09090909090909091,0.2698412698412698,0.7937853107344632,0.05
p38a,0.34615384615384615,0.125,0.0,0.5163934426229508,0.7073170731707317,0.1111111111111111,0.5,0.05,0.7638163321418752
