,EGFR,ErbB2,p110a,KDR,BRAF,CDK2,LCK,MET,p38a
EGFR,0.0,0.4341880341880342,0.9273743016759777,0.6494960806270997,0.5423728813559322,0.875,0.753968253968254,0.7717391304347826,0.6538461538461539
ErbB2,0.4341880341880342,0.0,1.0,0.6,0.75,0.8518518518518519,0.8484848484848485,0.9642857142857143,0.875
p110a,0.9273743016759777,1.0,0.0,0.8160919540229885,0.6666666666666667,0.6666666666666667,1.0,1.0,1.0
KDR,0.6494960806270997,0.6,0.8160919540229885,0.0,0.24045801526717558,0.3826086956521739,0.5665859564164648,0.45882352941176474,0.48360655737704916
BRAF,0.5423728813559322,0.75,0.6666666666666667,0.24045801526717558,0.0,0.9230769230769231,0.44999999999999996,0.8846153846153846,0.29268292682926833
CDK2,0.875,0.8518518518518519,0.6666666666666667,0.3826086956521739,0.9230769230769231,0.0,0.8888888888888888,0.9090909090909091,0.8888888888888888
LCK,0.753968253968254,0.8484848484848485,1.0,0.5665859564164648,0.44999999999999996,0.8888888888888888,0.0,0.7301587301587302,0.5
MET,0.7717391304347826,0.9642857142857143,1.0,0.45882352941176474,0.8846153846153846,0.9090909090909091,0.7301587301587302,0.0,0.95
p38a,0.6538461538461539,0.875,1.0,0.48360655737704916,0.29268292682926833,0.8888888888888888,0.5,0.95,0.0
