,EGFR,ErbB2,BRAF,CDK2,LCK,MET,p38a,KDR,p110a
EGFR,0.0,0.4430823117338003,0.5806451612903225,0.8837209302325582,0.7615384615384615,0.7741935483870968,0.6842105263157895,0.6517857142857143,0.9285714285714286
ErbB2,0.4430823117338003,0.0,0.75,0.8461538461538461,0.8235294117647058,0.9642857142857143,0.875,0.6022099447513812,1.0
BRAF,0.5806451612903225,0.75,0.0,0.9333333333333333,0.4883720930232558,0.8888888888888888,0.3555555555555555,0.25187969924812026,0.8333333333333334
CDK2,0.8837209302325582,0.8461538461538461,0.9333333333333333,0.0,0.8333333333333334,0.9130434782608696,0.9166666666666666,0.39830508474576276,0.7333333333333334
LCK,0.7615384615384615,0.8235294117647058,0.4883720930232558,0.8333333333333334,0.0,0.7121212121212122,0.5106382978723405,0.5673076923076923,1.0
MET,0.7741935483870968,0.9642857142857143,0.8888888888888888,0.9130434782608696,0.7121212121212122,0.0,0.9523809523809523,0.4606413994169096,1.0
p38a,0.6842105263157895,0.875,0.3555555555555555,0.9166666666666666,0.5106382978723405,0.9523809523809523,0.0,0.5,1.0
KDR,0.6517857142857143,0.6022099447513812,0.25187969924812026,0.39830508474576276,0.5673076923076923,0.4606413994169096,0.5,0.0,0.8192090395480226
p110a,0.9285714285714286,1.0,0.8333333333333334,0.7333333333333334,1.0,1.0,1.0,0.8192090395480226,0.0
